,iso_code,continent,location,date_,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand,positive_rate,people_vaccinated,population,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,day_num,school_closures,date
26078,FRA,Europe,France,01/24/2020,0.03,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,1,0,2020-01-24
19367,DEU,Europe,Germany,01/24/2020,50.395,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,1,0,2020-01-24
26079,FRA,Europe,France,01/25/2020,0.015,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,2,0,2020-01-25
26080,FRA,Europe,France,01/26/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,3,0,2020-01-26
26081,FRA,Europe,France,01/27/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,4,0,2020-01-27
19368,DEU,Europe,Germany,01/27/2020,0.012,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,2,0,2020-01-27
26082,FRA,Europe,France,01/28/2020,0.015,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,5,0,2020-01-28
19369,DEU,Europe,Germany,01/28/2020,0.036,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,3,0,2020-01-28
26083,FRA,Europe,France,01/29/2020,0.015,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,6,0,2020-01-29
19370,DEU,Europe,Germany,01/29/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,4,0,2020-01-29
19371,DEU,Europe,Germany,01/30/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,5,0,2020-01-30
26084,FRA,Europe,France,01/30/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,7,0,2020-01-30
