,iso_code,continent,location,Date ,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand,positive_rate,people_vaccinated,population,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy
67288,ZAF,Africa,South Africa,2021-06-13,129.104,0.995,0.751,0.159,1773417.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67287,ZAF,Africa,South Africa,2021-06-12,157.127,1.922,0.947,0.156,1767415.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67286,ZAF,Africa,South Africa,2021-06-11,135.225,3.069,0.82,0.151,1690026.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67285,ZAF,Africa,South Africa,2021-06-10,154.227,1.686,0.983,0.145,1619011.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67284,ZAF,Africa,South Africa,2021-06-09,149.742,2.141,0.906,0.139,1525271.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67283,ZAF,Africa,South Africa,2021-06-08,70.968,2.023,0.543,0.132,1433730.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67282,ZAF,Africa,South Africa,2021-06-07,55.388,1.501,0.391,0.127,1350245.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67281,ZAF,Africa,South Africa,2021-06-06,85.536,0.759,0.604,0.139,1343433.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67280,ZAF,Africa,South Africa,2021-06-05,91.892,1.636,0.682,0.122,1336547.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67279,ZAF,Africa,South Africa,2021-06-04,95.568,1.13,0.727,0.119,1266893.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67278,ZAF,Africa,South Africa,2021-06-03,90.375,0.91,0.738,0.116,1193352.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67277,ZAF,Africa,South Africa,2021-06-02,97.49,1.855,0.767,0.113,1117569.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67276,ZAF,Africa,South Africa,2021-06-01,60.935,1.602,0.618,0.12,1045104.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67275,ZAF,Africa,South Africa,2021-05-31,110.389,2.411,0.416,0.11,970488.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67274,ZAF,Africa,South Africa,2021-05-30,0.0,0.0,0.532,0.094,963876.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67273,ZAF,Africa,South Africa,2021-05-29,76.195,1.18,0.668,0.106,898955.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67272,ZAF,Africa,South Africa,2021-05-28,77.122,2.074,0.671,0.103,,59.30869,46.754,27.3,12294.876,2.32,64.13
67271,ZAF,Africa,South Africa,2021-05-27,74.559,1.568,0.732,0.1,,59.30869,46.754,27.3,12294.876,2.32,64.13
67270,ZAF,Africa,South Africa,2021-05-26,129.947,1.703,0.774,0.099,,59.30869,46.754,27.3,12294.876,2.32,64.13
67269,ZAF,Africa,South Africa,2021-05-25,0.0,1.72,0.473,0.084,700904.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67268,ZAF,Africa,South Africa,2021-05-24,40.18,1.214,0.394,0.092,651628.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67267,ZAF,Africa,South Africa,2021-05-23,48.796,0.506,0.495,0.091,647983.0,59.30869,46.754,27.3,12294.876,2.32,64.13
67266,ZAF,Africa,South Africa,2021-05-22,71.423,0.894,0.738,0.09,642946.0,59.30869,46.754,27.3,12294.876,2.32,64.13
